,Location,ZIP
145,"(41.909972425, -87.72805041)",60639
146,"(41.7217117, -87.62223329999999)",60619
147,"(41.880139, -87.7421358)",60644
148,"(41.795957, -87.626323)",60609
149,"(41.6884623, -87.6558601)",60643
150,"(41.7575678, -87.5992536)",60619
151,"(41.9164818, -87.6550877)",60614
152,"(41.6985287, -87.53319479999999)",60617
153,"(41.8629807, -87.6596682)",60608
154,"(41.9421323, -87.6914608)",60618
155,"(41.730453, -87.6679606)",60620
156,"(41.93397239999999, -87.6558124)",60657
157,"(41.7660249, -87.5692242)",60649
158,"(41.918921, -87.776404)",60639
159,"(41.8278882, -87.6329602)",60609
160,"(41.9242896, -87.76403359999999)",60639
161,"(41.8002895, -87.5849758)",60615
162,"(41.8859035, -87.7154043)",60624
163,"(41.9733858, -87.71350439999999)",60625
164,"(41.9711021, -87.7094221)",60625
165,"(41.9296481, -87.6459706)",60614
166,"(41.6574136, -87.6074687)",60827
167,"(41.9351308, -87.6952606)",60618
168,"(41.6841712, -87.677566)",60643
169,"(41.9036405, -87.76667119999999)",60651
170,"(41.8747358, -87.693715)",60612
171,"(41.7649924, -87.65798830000001)",60636
172,"(41.9161874, -87.72246299999999)",60647
173,"(41.9133813, -87.78027480000002)",60639
174,"(41.9750909, -87.6803091)",60625
175,"(41.8083167, -87.5922259)",60615
176,"(41.9024109, -87.67430440000001)",60622
177,"(41.8268008, -87.6204427)",60653
178,"(41.77816680000001, -87.6822552)",60636
179,"(41.9770899, -87.669264)",60640
180,"(41.918509, -87.6602796)",60614
181,"(41.6922803, -87.5319701)",60617
182,"(41.9379315, -87.72677089999999)",60641
183,"(41.9660193, -87.6521886)",60640
184,"(41.6916659, -87.6083809)",60628
185,"(41.80400969999999, -87.7357124)",60632
186,"(41.8109791, -87.59842119999999)",60653
187,"(41.8340484, -87.6500959)",60608
188,"(41.83417439999999, -87.6350089)",60616
189,"(41.8356259, -87.6490097)",60608
190,"(41.814061, -87.6109949)",60653
191,"(42.0111743, -87.68441969999999)",60645
192,"(41.8735966, -87.7592027)",60644
193,"(41.8722099, -87.6588229)",60607
194,"(41.7418901, -87.7099618)",60652
195,"(41.7421401, -87.7067141)",60652
196,"(41.7400343, -87.6009832)",60619
197,"(41.9688535, -87.74817329999999)",60630
198,"(41.8172197, -87.6246682)",60653
199,"(41.9664747, -87.6558529)",60640
200,"(41.9467205, -87.7169804)",60618
201,"(41.753072, -87.63495499999999)",60620
202,"(41.9453833, -87.6811506)",60618
203,"(41.8988393, -87.7367908)",60651
204,"(41.8879961, -87.7739753)",60644
205,"(41.8951818, -87.76033509999999)",60651
206,"(41.9759391, -87.7789081)",60630
207,"(41.88500440000001, -87.76249279999999)",60644
208,"(41.888194, -87.76577909999999)",60644
209,"(41.7437383, -87.5941856)",60619
210,"(41.7485226, -87.5912872)",60619
211,"(41.9351698, -87.70871489999999)",60618
212,"(41.9412821, -87.71524649999999)",60618
213,"(41.7707098, -87.7395655)",60629
214,"(41.8044432, -87.6575739)",60609
215,"(41.9900488, -87.71312329999999)",60659
216,"(41.7731916, -87.63682109999999)",60621
217,"(41.90948179999999, -87.7785488)",60639
218,"(41.8472192, -87.680601)",60608
219,"(41.870131, -87.6971349)",60612
220,"(41.7031778, -87.6708424)",60643
221,"(41.705373, -87.65851459999999)",60643
222,"(41.8521615, -87.67688299999999)",60608
223,"(41.9326996, -87.73987790000001)",60641
224,"(41.75460959999999, -87.67149739999999)",60620
225,"(41.774826, -87.65379779999999)",60621
226,"(41.9581759, -87.7026015)",60618
227,"(41.9164587, -87.6417884)",60614
228,"(41.6996246, -87.6712012)",60643
229,"(41.9699408, -87.790275)",60706
230,"(41.7990167, -87.6248351)",60615
231,"(41.9720396, -87.75681850000001)",60630
232,"(41.782694, -87.59165899999999)",60637
233,"(41.8092041, -87.62715899999999)",60609
234,"(41.8851078, -87.70488879999999)",60612
235,"(41.912869, -87.7239692)",60647
236,"(41.958895, -87.733679)",60641
237,"(41.9352459, -87.7960202)",60634
238,"(41.9494917, -87.6865742)",60618
239,"(41.924838, -87.77026599999999)",60639
240,"(41.71052479999999, -87.6169857)",60628
241,"(41.9511593, -87.6475437)",60613
242,"(41.7330945, -87.5555985)",60617
243,"(41.8829556, -87.73127629999999)",60624
244,"(42.0052347, -87.69231599999999)",60645
245,"(41.8703061, -87.7023)",60612
246,"(41.7082007, -87.68315729999999)",60655
247,"(41.7232858, -87.661833)",60620
248,"(41.713303, -87.6679798)",60643
249,"(41.892473, -87.66381439999999)",60642
250,"(41.8127769, -87.61524299999999)",60653
251,"(41.7922491, -87.5932457)",60637
252,"(41.729207, -87.5763834)",60617
253,"(41.9228767, -87.751605)",60639
254,"(41.6847207, -87.6670141)",60643
255,"(41.9509477, -87.6650058)",60613
256,"(41.7763365, -87.789709)",60638
257,"(41.7067469, -87.6328467)",60628
258,"(41.9950262, -87.7053763)",60659
259,"(41.7487644, -87.7206719)",60652
260,"(41.6919429, -87.67093969999999)",60643
261,"(41.8699144, -87.717038)",60624
262,"(41.7657146, -87.6534178)",60621
263,"(41.7884892, -87.65648929999999)",60636
264,"(42.0039664, -87.6979523)",60645
265,"(41.83923069999999, -87.65377289999999)",60608
266,"(41.773573, -87.5984797)",60637
267,"(41.7611357, -87.57607039999999)",60649
268,"(41.7344345, -87.55750069999999)",60617
269,"(41.71809710000001, -87.5643236)",60617
270,"(41.7548658, -87.55777669999999)",60649
271,"(41.7270772, -87.654913)",60620
272,"(41.941243, -87.699535)",60618
273,"(41.9600422, -87.6492392)",60613
274,"(41.931012, -87.69604269999999)",60647
275,"(41.9794596, -87.8434879)",60656
276,"(41.949675, -87.7989339)",60634
277,"(41.8266894, -87.6426221)",60609
278,"(41.6997402, -87.5623159)",60617
279,"(41.8297016, -87.69833779999999)",60632
280,"(41.8239989, -87.6918618)",60632
281,"(41.9975768, -87.70471859999999)",60659
282,"(41.9800704, -87.6599888)",60640
283,"(41.9628196, -87.66097769999999)",60640
284,"(41.81982929999999, -87.6269947)",60609
285,"(41.8119775, -87.5993191)",60653
286,"(42.0092711, -87.80667)",60631
287,"(41.6941384, -87.6158444)",60628
288,"(41.7110849, -87.71997309999999)",60655
289,"(41.7383971, -87.6086796)",60619
290,"(41.6648631, -87.6386967)",60628
291,"(41.882633, -87.6705831)",60612
292,"(41.7715893, -87.62140649999999)",60637
293,"(41.897163, -87.76606400000001)",60651
294,"(41.9840401, -87.72845509999999)",60646
295,"(41.7270568, -87.5645093)",60617
296,"(41.815197, -87.617955)",60653
297,"(41.9753187, -87.6968823)",60625
298,"(41.9586072, -87.65656129999999)",60613
299,"(41.9631994, -87.6988393)",60625
300,"(41.7751925, -87.6637097)",60636
301,"(41.9176413, -87.7818119)",60639
302,"(41.7206139, -87.5772594)",60617
303,"(41.7968952, -87.6160225)",60615
304,"(41.9380894, -87.66983049999999)",60657
305,"(41.7240178, -87.5972623)",60619
306,"(41.7288177, -87.60766)",60619
307,"(41.91212700000001, -87.6686796)",60622
308,"(41.8288647, -87.69269919999999)",60632
309,"(41.9723622, -87.65490199999999)",60640
310,"(41.7986855, -87.59662580000001)",60615
311,"(41.7948196, -87.79101759999999)",60638
312,"(41.9918762, -87.69980079999999)",60659
313,"(41.9904941, -87.65483139999999)",60660
314,"(41.8974793, -87.72210830000002)",60651
315,"(41.7392845, -87.5815346)",60617
316,"(41.8781359, -87.6975332)",60612
317,"(41.9517076, -87.6970874)",60618
318,"(41.8245538, -87.71140009999999)",60632
319,"(41.7459618, -87.6515055)",60620
320,"(41.7178298, -87.5306437)",60617
321,"(41.9040722, -87.7182183)",60651
322,"(41.93535929999999, -87.7703738)",60634
323,"(41.842111, -87.6657575)",60608
324,"(41.80465239999999, -87.5900906)",60615
325,"(41.94792899999999, -87.829899)",60634
326,"(41.7368137, -87.57774789999999)",60617
327,"(41.84843499999999, -87.71559719999999)",60623
328,"(41.8477075, -87.7152998)",60623
329,"(41.93175859999999, -87.67048679999999)",60614
330,"(41.9820411, -87.77399489999999)",60630
331,"(41.9985201, -87.7631388)",60646
332,"(41.9745965, -87.6608776)",60640
333,"(41.7835894, -87.5910163)",60637
334,"(41.78166299999999, -87.650565)",60621
